Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Gavin Clarkson,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,12.42,No,,,,,No,,No,,,No,,,,,H8NM02222,"CLARKSON, GAVIN",O,2.0,REP,182336.0,0.0,182336.44,0.0,0.0,0.0,0.0,10100.0,0.0,10100.0,0.0,0.0,168186.0,NM,2.0,,,,,,4050.0,0.0,08/24/2018,27800.0,50.0,clarkson, gavin,
Clayburn Griffin,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,None,6.55,No,,,,,No,,No,,,No,,,,,H8NM02230,"GRIFFIN, CLAYBURN",O,2.0,REP,11684.73,0.0,11684.73,0.0,0.0,0.0,4695.05,2527.78,834.65,2527.78,834.65,0.0,3627.25,NM,2.0,,,,,,0.0,0.0,09/30/2018,0.0,0.0,griffin, clayburn,
Mick Rich,NM,U.S. Senate New Mexico,Senator,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,S8NM00200,"RICH, MICK",C,2.0,REP,968899.39,0.0,967618.35,0.0,0.0,1278.45,77195.56,235500.0,0.0,0.0,0.0,235500.0,638773.49,NM,0.0,,,,,,16500.0,0.0,12/31/2018,6350.0,0.0,rich, mick,
Danny Tarkanian,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,44.13,Yes,,Yes,Yes,,No,Yes,,,,,,,,,H2NV04045,"TARKANIAN, DANNY",O,2.0,REP,2517336.84,0.0,2492030.66,0.0,7314.62,32143.71,13827.0,217382.18,0.0,193600.0,0.0,95995.91,2151627.17,NV,3.0,,,,,,123617.67,0.0,12/31/2018,20486.3,1000.0,tarkanian, danny,
Danny Tarkanian,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,44.13,Yes,,Yes,Yes,,No,Yes,,,,,,,,,S0NV00203,"TARKANIAN, DANNY",C,2.0,REP,2491405.66,0.0,2467184.86,0.0,0.0,23743.71,13827.0,215000.0,0.0,180000.0,0.0,51289.76,2132327.17,NV,0.0,,,,,,120917.67,0.0,12/31/2018,20386.3,1000.0,tarkanian, danny,
Annette Teijeiro,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,3.54,No,,,No,,No,No,,,,,,,,,H4NV01153,"TEIJEIRO, ANNETTE",O,2.0,REP,125877.07,0.0,113308.24,0.0,-2438.92,10129.91,0.0,100000.0,0.0,100000.0,0.0,11836.24,25877.07,NV,3.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,teijeiro, annette,
Scott Hammond,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,16.79,No,,,No,,Yes,No,,,,,,,,,H8NV03119,"HAMMOND, SCOTT",O,2.0,REP,290689.03,0.0,290689.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244354.36,NV,3.0,,,,,,44050.0,0.0,09/30/2018,12300.0,0.0,hammond, scott,
Patrick Carter,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,2.72,No,,,No,,No,No,,,,,,,,,H8NV03259,"CARTER, PATRICK",O,2.0,REP,9538.83,0.0,8295.37,0.0,0.0,0.0,1000.0,5200.86,0.0,1700.86,0.0,-1700.0,3337.97,NV,3.0,,,,,,0.0,0.0,07/01/2018,0.0,0.0,carter, patrick,
David McKeon,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,4.91,No,,,No,,No,No,,,,,,,,,H8NV03150,"MCKEON, DAVID OWEN",O,2.0,REP,77680.3,0.0,77680.3,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,2300.0,0.0,63680.3,NV,3.0,,,,,,8000.0,1000.0,07/31/2018,300.0,0.0,mckeon, david owen,
Michelle Mortensen,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,24.56,No,,,No,,No,No,,,,,,,,,H8NV03218,"MORTENSEN, MICHELLE",O,2.0,REP,138283.18,0.0,138215.9,0.0,0.0,67.28,0.0,0.0,0.0,0.0,0.0,0.0,135278.18,NV,3.0,,,,,,3000.0,0.0,12/31/2018,28000.0,0.0,mortensen, michelle,
