Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Mauro Garza,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.92,No,,,,,,No,,No,,No,No,,,No,H8TX21331,"GARZA, MAURO EVERETT MR.",O,2.0,REP,148455.7,0.0,119462.78,0.0,0.0,28992.92,2.0,145733.0,0.0,0.0,0.0,220006.88,2700.0,TX,21.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,garza, mauro everett mr.,
Foster Hagen,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,0.55,No,,,,,,No,,No,,No,No,,,No,H8TX21299,"HAGEN, FOSTER",O,2.0,REP,13685.01,0.0,13685.01,0.0,0.0,0.0,13685.01,0.0,0.0,0.0,0.0,0.0,0.0,TX,21.0,,,,,,0.0,0.0,02/14/2018,0.0,0.0,hagen, foster,
William Negley,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,15.55,No,,,,,,No,,No,,No,No,,,Yes,H8TX21257,"NEGLEY, WILLIAM W.",O,2.0,REP,342797.5,0.0,342749.92,0.0,0.0,47.58,485.49,114700.0,0.0,0.0,0.0,117995.45,227612.01,TX,21.0,,,,,,0.0,0.0,12/31/2018,38325.0,0.0,negley, william w.,
Al Poteet,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.81,No,,,,,,No,,No,,No,No,,,No,H8TX21323,"POTEET, AL",O,2.0,REP,34519.57,0.0,34519.57,0.0,0.0,0.0,16579.22,10300.0,0.0,2478.28,0.0,0.0,7640.35,TX,21.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,poteet, al,
Samuel Temple,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.42,No,,,,,,No,,No,,No,No,,,No,H8TX21240,"TEMPLE, SAMUEL",O,2.0,REP,14581.7,0.0,14405.05,0.0,0.0,86.77,0.0,0.0,0.0,0.0,0.0,0.0,14581.7,TX,21.0,,,,,,0.0,0.0,04/07/2018,0.0,0.0,temple, samuel,
Peggy Wardlaw,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,1.79,No,,,,,,No,,No,,No,No,,,No,H8TX21349,"WARDLAW, PEGGY",O,2.0,REP,17095.0,0.0,12289.92,0.0,0.0,4805.08,0.0,13690.0,0.0,0.0,0.0,13690.0,3405.0,TX,21.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0,wardlaw, peggy,
Michael Cloud,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,33.83,Yes,,,,,,,,Yes,No,Yes,Yes,,,,H8TX27049,"CLOUD, MICHAEL",I,2.0,REP,746292.27,0.0,688599.86,0.0,0.0,57692.41,0.0,0.0,0.0,0.0,0.0,26298.71,546134.48,TX,27.0,,,,,,199807.02,300.0,12/31/2018,5800.0,0.0,cloud, michael,
Bech Bruun,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Lost,None,36.09,No,,,,,,,,No,Yes,No,No,,,,H8TX27072,"BRUUN, BECH",O,2.0,REP,662739.22,0.0,662520.68,0.0,0.0,218.54,0.0,0.0,0.0,0.0,0.0,6894.45,518989.22,TX,27.0,,,,,,143750.0,0.0,12/31/2018,1000.0,3000.0,bruun, bech,
Chris Mapp,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,12.14,No,,,,,,,,No,No,No,No,,,,H8TX27080,"MAPP, CHRIS",O,2.0,REP,47924.5,0.0,52442.4,0.0,0.0,-4517.9,0.0,20123.5,7000.0,0.0,7000.0,74017.14,20240.0,TX,27.0,,,,,,0.0,561.0,12/31/2018,0.0,0.0,mapp, chris,
Phillip Aronoff,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,38.6,Yes,,,,,,,,,,,,,,,H8TX29094,"ARONOFF, PHILLIP ARNOLD",O,2.0,REP,98542.03,0.0,98484.59,0.0,0.0,57.44,0.0,5000.0,0.0,0.0,0.0,57.44,89542.03,TX,29.0,,,,,,4000.0,0.0,12/31/2018,0.0,0.0,aronoff, phillip arnold,
Carmen Maria Montiel,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,Lost,None,23.58,No,,,,,,,,,,,,,,,H8TX29102,"MONTIEL, CARMEN",O,2.0,REP,34836.95,0.0,34693.6,0.0,0.0,143.35,3348.84,6188.26,0.0,6188.26,0.0,0.0,25199.85,TX,29.0,,,,,,0.0,0.0,11/20/2018,0.0,0.0,montiel, carmen,
Jaimy Blanco,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,21.08,No,,,,,,,,,,,,,,,H8TX29110,"BLANCO, JAIMY ANNETTE",O,2.0,REP,31675.96,0.0,24582.76,0.0,0.0,7093.2,0.0,30525.96,0.0,0.0,0.0,33650.96,1150.0,TX,29.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,blanco, jaimy annette,
Van Taylor,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,None,On the Ballot,84.68,Yes,,,,,,,,Yes,,,,,,,H8TX03123,"TAYLOR, VAN",O,2.0,REP,4666182.91,4320.58,4473633.74,0.0,0.0,192549.17,2740.33,3250000.0,0.0,865615.29,0.0,634384.71,1019322.0,TX,3.0,,,,,,389800.0,0.0,12/31/2018,19581.97,500.0,taylor, van,
David Niederkorn,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,9.39,No,,,,,,,,No,,,,,,,H8TX03149,"NIEDERKORN, DAVID",O,2.0,REP,53845.74,0.0,45548.45,0.0,1000.0,9297.29,0.0,50000.0,0.0,0.0,0.0,51000.0,3845.74,TX,3.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,niederkorn, david,
Willie Billups,TX,U.S. House Texas District 33,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8TX33021,"BILLUPS, WILLIE KAILAWN",C,2.0,REP,59561.06,0.0,60062.25,0.0,0.0,-501.19,6500.0,2800.0,0.0,2600.0,0.0,200.0,50111.06,TX,33.0,,,,,,0.0,0.0,12/31/2018,65.0,0.0,billups, willie kailawn,
Rey Gonzalez,TX,U.S. House Texas District 34,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H6TX34031,"GONZALEZ, REY DR.",C,2.0,REP,87995.75,0.0,95421.53,0.0,0.0,-1475.43,0.0,50120.0,0.0,0.0,0.0,0.0,37575.75,TX,34.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,gonzalez, rey dr.,
David Smalling,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Advanced,None,On the Ballot,53.3,Yes,,,,,,,,,,,,,,,H8TX35026,"SMALLING, DAVID",C,2.0,REP,46669.0,0.0,46370.89,0.0,0.0,298.11,0.0,46328.0,0.0,700.0,0.0,45628.0,341.0,TX,35.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,smalling, david,
SK Alexander,TX,U.S. House Texas District 35,Representative,Regular,3/6/18,Lost,None,None,46.7,No,,,,,,,,,,,,,,,H8TX35018,"ALEXANDER, SK",C,2.0,REP,10180.69,0.0,16931.69,0.0,0.0,0.0,9215.69,0.0,0.0,0.0,0.0,0.0,965.0,TX,35.0,,,,,,0.0,0.0,07/13/2018,300.0,0.0,alexander, sk,
Lance Gooden,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,29.97,Yes,,,,,,No,No,No,No,,No,,,,H8TX05144,"GOODEN, LANCE",O,2.0,REP,1038984.33,0.0,884794.07,0.0,0.0,154190.26,0.0,0.0,0.0,0.0,0.0,163910.79,666613.75,TX,5.0,,,,,,372370.58,0.0,12/31/2018,0.0,0.0,gooden, lance,
Bunni Pounds,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,Lost,None,21.95,No,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,H8TX05128,"POUNDS, BUNNI",O,2.0,REP,905242.7,0.0,905242.7,0.0,0.0,0.0,281.27,20000.0,0.0,20000.0,0.0,0.0,759434.37,TX,5.0,,,,,,125352.06,0.0,08/21/2018,61725.0,8001.0,pounds, bunni,
Kenneth Sheets,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,11.99,No,,,,,,No,No,No,No,,No,,,,H8TX05094,"SHEETS, KENNETH",O,2.0,REP,196075.0,0.0,196075.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,181825.0,TX,5.0,,,,,,13750.0,0.0,05/17/2018,1000.0,0.0,sheets, kenneth,
Sam Deen,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,17.16,No,,,,,,No,No,No,No,,No,,,,H8TX05110,"DEEN, SAM ALAN",O,2.0,REP,79963.06,0.0,79963.06,0.0,0.0,0.0,5593.06,0.0,0.0,0.0,0.0,0.0,74370.0,TX,5.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,deen, sam alan,
Danny Campbell,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,3.02,No,,,,,,No,No,No,No,,No,,,,H8TX05102,"CAMPBELL, DANNY",O,2.0,REP,3775.0,0.0,1552.99,0.0,0.0,-14.1,0.0,0.0,0.0,0.0,0.0,0.0,3775.0,TX,5.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,campbell, danny,
Jason Wright,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Lost,None,None,11.42,No,,,,,,No,No,No,No,,No,,,,H8TX05136,"WRIGHT, JASON",O,2.0,REP,146579.87,0.0,146579.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130349.87,TX,5.0,,,,,,7230.0,0.0,03/31/2018,6500.0,0.0,wright, jason,
Jake Ellzey,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Lost,None,21.76,No,,,,,,No,,No,,,No,,,,H8TX06266,"ELLZEY, JAKE",O,2.0,REP,335108.72,16069.36,335108.72,0.0,0.0,0.0,26769.06,4733.94,0.0,4733.94,0.0,0.0,266536.36,TX,6.0,,,,,,21000.0,0.0,12/31/2018,3000.0,0.0,ellzey, jake,
Ronald Wright,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,45.15,Yes,,,,,,Yes,,Yes,,,Yes,,,,H8TX06233,"WRIGHT, RONALD",O,2.0,REP,707057.75,0.0,704664.14,0.0,0.0,2393.61,0.0,0.0,0.0,0.0,0.0,120874.9,471187.29,TX,6.0,,,,,,231570.46,0.0,12/31/2018,0.0,0.0,wright, ronald,
Ken Cope,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,7.7,No,,,,,,No,,No,,,No,,,,S4TX00532,"COPE, KEN",C,2.0,REP,27064.32,0.0,27064.32,0.0,0.0,0.0,0.0,3260.41,0.0,691.69,0.0,0.0,23803.91,TX,0.0,,,,,,0.0,0.0,04/06/2018,0.0,0.0,cope, ken,
Shawn Dandridge,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,1.13,No,,,,,,No,,No,,,No,,,,H8TX06241,"DANDRIDGE, SHAWN",O,2.0,REP,5126.0,0.0,4194.71,0.0,15.04,946.33,0.0,5125.0,0.0,0.0,0.0,5125.0,1.0,TX,6.0,,,,,,0.0,0.0,12/31/2017,0.0,0.0,dandridge, shawn,
Mark Mitchell,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,4.68,No,,,,,,No,,No,,,No,,,,H8TX06225,"MITCHELL, MARK",O,2.0,REP,10030.25,0.0,5475.25,0.0,8.04,4563.04,0.0,9630.25,0.0,0.0,0.0,9630.25,400.0,TX,6.0,,,,,,0.0,0.0,03/10/2018,0.0,0.0,mitchell, mark,
Troy Ratterree,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,4.04,No,,,,,,No,,No,,,No,,,,H8TX06340,"RATTERREE, TROY",O,2.0,REP,52860.0,0.0,52860.0,0.0,0.0,0.0,0.0,49000.0,0.0,3828.33,0.0,0.0,3860.0,TX,6.0,,,,,,0.0,0.0,04/06/2018,0.0,0.0,ratterree, troy,
Kevin Harrison,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,3.85,No,,,,,,No,,No,,,No,,,,S2TX00197,"HARRISON, KEVIN DALE",O,3.0,IND,1330.0,0.0,3578.4,0.0,0.0,-2248.4,0.0,0.0,0.0,0.0,0.0,0.0,1330.0,TX,0.0,,,,,,0.0,0.0,04/14/2018,0.0,0.0,harrison, kevin dale,
Shannon Dubberly,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,6.28,No,,,,,,No,,No,,,No,,,,H8TX06258,"DUBBERLY, SHANNON MICHAEL",O,2.0,REP,117077.62,0.0,117077.62,0.0,0.0,0.0,50.0,45000.0,0.0,0.0,0.0,45000.0,72026.82,TX,6.0,,,,,,0.0,0.0,03/31/2018,3050.0,0.0,dubberly, shannon michael,
Mitt Romney,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Advanced,None,On the Ballot,71.27,Yes,,Yes,,,,,,,,,,,,,P80003353,"ROMNEY, MITT / PAUL D. RYAN",C,2.0,REP,443120.43,0.0,1919415.8,1200000.0,1516047.82,39752.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,0.0,,,,,,0.0,0.0,12/31/2018,-354488.89,0.0,romney, mitt / paul d. ryan,
Mitt Romney,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Advanced,None,On the Ballot,71.27,Yes,,Yes,,,,,,,,,,,,,S8UT00176,"ROMNEY, MITT WILLARD MR",O,2.0,REP,5552040.26,1200000.0,5294219.14,0.0,0.0,257821.76,0.0,0.0,0.0,0.0,0.0,0.0,4309787.27,UT,0.0,,,,,,0.0,620.0,12/31/2018,27800.0,620.0,romney, mitt willard mr,
Mike Kennedy,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Lost,None,None,28.73,No,,No,,,,,,,,,,,,,S8UT00242,"KENNEDY, MIKE",O,2.0,REP,752498.82,0.0,752498.75,0.0,0.0,0.0,0.0,422543.0,0.0,0.0,0.0,422543.19,323755.82,UT,0.0,,,,,,6200.0,0.0,12/31/2018,0.0,0.0,kennedy, mike,
Anya Tynio,VT,U.S. House Vermont At-large District,Representative,Regular,8/14/18,Lost,None,None,36.7,No,,,,,,,,,,,,,,,H8VT01065,"TYNIO, ANYA",C,2.0,REP,10780.0,0.0,10773.19,75.0,0.0,6.81,0.0,0.0,0.0,0.0,0.0,0.0,10480.0,VT,0.0,,,,,,0.0,300.0,12/31/2018,0.0,0.0,tynio, anya,
Roque De La Fuente,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,P60016342,"FUENTE, ROQUE ROCKY DE LA",O,1.0,DEM,1410760.98,0.0,1440483.88,0.0,1046.08,2343.18,0.0,1410694.5,0.0,86597.55,0.0,9320065.61,50.0,00,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,S8CA00598,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,1410760.98,0.0,1440483.88,0.0,1046.08,2343.18,0.0,1410694.5,0.0,86597.55,0.0,9320065.61,50.0,CA,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,S8DE00178,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,15000.0,0.0,15000.0,0.0,0.0,0.0,0.0,15000.0,0.0,4560.0,0.0,-4560.0,0.0,DE,0.0,,,,,,0.0,0.0,10/01/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,S8FL00299,"FUENTE, ROQUE ""ROCKY"" DE LA",C,2.0,REP,45000.0,0.0,45000.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,FL,0.0,,,,,,0.0,0.0,10/02/2018,0.0,0.0,fuente," roque ""rocky"" de la",
Roque De La Fuente,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,S8RI00151,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,100000.0,0.0,47761.14,0.0,0.0,52238.86,0.0,100000.0,0.0,25000.0,0.0,75000.0,0.0,RI,0.0,,,,,,0.0,0.0,09/30/2018,0.0,0.0,fuente, roque rocky de la,
Lawrence Zupan,VT,U.S. Senate Vermont,Senator,Regular,8/14/18,Lost,None,None,4.2,No,,,,,,,,,,,,,,,S8VT00141,"ZUPAN, LAWRENCE",C,2.0,REP,168278.39,0.0,170527.0,0.0,50.0,-2198.61,0.0,258.08,0.0,0.0,0.0,6911.08,166462.1,VT,0.0,,,,,,0.0,0.0,12/31/2018,5.0,0.0,zupan, lawrence,
Jeff Dove,VA,U.S. House Virginia District 11,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8VA11070,"DOVE, JEFF",C,2.0,REP,677906.55,0.0,657964.85,0.0,0.0,19966.7,3828.2,55275.0,0.0,25385.0,0.0,29915.0,602760.22,VA,11.0,,,,,,8000.0,1300.0,12/31/2018,5815.0,0.0,dove, jeff,
Ryan McAdams,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,72.57,Yes,,,,,,,,,,,,,,,H8VA04026,"MCADAMS, RYAN A. MR.",C,2.0,REP,239418.39,0.0,238960.01,0.0,0.0,458.38,0.0,500.0,2534.88,500.0,2534.88,3148.03,218559.56,VA,4.0,,,,,,14800.0,3023.95,12/31/2018,0.0,0.0,mcadams, ryan a. mr.,
Shion Fenty,VA,U.S. House Virginia District 4,Representative,Regular,6/12/18,Lost,None,None,27.43,No,,,,,,,,,,,,,,,H8VA04034,"FENTY, SHION",C,2.0,REP,15809.81,0.0,15809.81,0.0,0.0,0.0,87.98,2611.8,0.0,2611.8,0.0,0.0,13110.03,VA,4.0,,,,,,0.0,0.0,07/26/2018,0.0,0.0,fenty, shion,
Denver Riggleman,VA,U.S. House Virginia District 5,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,Yes,,,,,,,H8VA05171,"RIGGLEMAN, DENVER LEE MR. III",O,2.0,REP,1951976.0,7391.4,1941098.64,0.0,0.0,10877.36,0.0,0.0,0.0,0.0,0.0,0.0,1652727.0,VA,5.0,,,,,,275306.65,14500.0,12/31/2018,12483.04,0.0,riggleman, denver lee mr. iii,
Ben Cline,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,Yes,,,,,,,,,,H8VA06104,"CLINE, BEN",O,2.0,REP,999245.1,0.0,980497.57,0.0,0.0,18747.53,1550.0,0.0,0.0,0.0,0.0,29913.59,685191.1,VA,6.0,,,,,,298812.48,5000.0,12/31/2018,550.0,500.0,cline, ben,
Thomas Oh,VA,U.S. House Virginia District 8,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8VA08159,"OH, THOMAS",C,2.0,REP,74602.45,0.0,74602.45,0.0,0.0,0.0,50.0,5000.0,0.0,5000.0,0.0,0.0,63404.88,VA,8.0,,,,,,0.0,5500.0,12/31/2018,1501.12,0.0,oh, thomas,
Corey Stewart,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Advanced,None,On the Ballot,44.87,Yes,,,,,,,,,,,,,,,S8VA00297,"STEWART, COREY ALAN",C,2.0,REP,2814961.24,48627.41,2785265.68,0.0,0.0,29695.14,0.0,0.0,0.0,0.0,0.0,28347.15,2729895.05,VA,0.0,,,,,,20140.0,10404.0,12/31/2018,26592.2,0.0,stewart, corey alan,
E.W. Jackson,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,None,None,11.99,No,,,,,,,,,,,,,,,S2VA00167,"JACKSON, E.W.",C,2.0,REP,354871.96,0.0,370533.46,0.0,312.0,-21361.46,65.0,14437.0,7000.0,15868.0,12059.32,29222.73,326659.11,VA,0.0,,,,,,6000.0,0.0,12/31/2018,0.0,0.0,jackson, e.w.,
Nick Freitas,VA,U.S. Senate Virginia,Senator,Regular,6/12/18,Lost,None,None,43.14,No,,,,,,,,,,,,,,,S8VA00313,"FREITAS, NICK",C,2.0,REP,605406.27,0.0,605405.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579047.0,VA,0.0,,,,,,25885.0,0.0,12/31/2018,22482.0,0.0,freitas, nick,
Jeffrey Beeler,WA,U.S. House Washington District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,69.19,Yes,,,,,,,,,,,,,,,H8WA01077,"BEELER, JEFFREY ALLEN SR",C,2.0,REP,23157.67,0.0,18808.39,0.0,0.0,4349.28,55.0,0.0,0.0,0.0,0.0,0.0,20905.0,WA,1.0,,,,,,2000.0,197.67,12/31/2018,0.0,0.0,beeler, jeffrey allen sr,
Joseph Brumbles,WA,U.S. House Washington District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8WA10045,"BRUMBLES, JOSEPH",C,2.0,REP,5243.0,0.0,6071.52,0.0,168.5,-660.02,0.0,2454.0,0.0,1200.0,0.0,4794.0,2485.0,WA,10.0,,,,,,0.0,0.0,11/26/2018,0.0,0.0,brumbles, joseph,
Douglas Dightman,WA,U.S. House Washington District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H8WA06100,"DIGHTMAN, DOUGLAS",C,2.0,REP,46610.0,0.0,42423.04,0.0,0.0,4186.96,44000.0,0.0,0.0,0.0,0.0,0.0,2610.0,WA,6.0,,,,,,0.0,0.0,10/17/2018,0.0,0.0,dightman, douglas,
Craig Keller,WA,U.S. House Washington District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,H4WA07073,"KELLER, CRAIG",C,2.0,REP,7204.0,0.0,6780.0,0.0,389.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,7006.0,WA,7.0,,,,,,0.0,197.0,12/31/2018,0.0,0.0,keller, craig,
Dino Rossi,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,92.09,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,,,H8WA08205,"ROSSI, DINO",O,2.0,REP,4846553.35,5000.0,4821393.1,0.0,0.0,25160.25,300.0,0.0,0.0,0.0,0.0,0.0,4295948.74,WA,8.0,,,,,,519070.0,5300.0,12/31/2018,14077.82,10900.0,rossi, dino,
Doug Basler,WA,U.S. House Washington District 9,Representative, ,8/7/18,Lost,None,None,100.0,No,,,,,,,,,,,,,,,H4WA09061,"BASLER, DOUG",C,2.0,REP,4585.0,0.0,4034.71,0.0,-264.75,285.54,0.0,0.0,0.0,0.0,0.0,0.0,4585.0,WA,9.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,basler, doug,
Joey Gibson,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,6.37,No,,,,,,No,,,,,,,,,S8WA00244,"GIBSON, JOEY",C,2.0,REP,13048.0,0.0,11330.72,0.0,0.0,1862.64,0.0,0.0,0.0,0.0,0.0,0.0,10788.0,WA,0.0,,,,,,0.0,0.0,07/15/2019,250.0,0.0,gibson, joey,
Roque De La Fuente,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.83,No,,,,,,No,,,,,,,,,P60016342,"FUENTE, ROQUE ROCKY DE LA",O,1.0,DEM,1410760.98,0.0,1440483.88,0.0,1046.08,2343.18,0.0,1410694.5,0.0,86597.55,0.0,9320065.61,50.0,00,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.83,No,,,,,,No,,,,,,,,,S8CA00598,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,1410760.98,0.0,1440483.88,0.0,1046.08,2343.18,0.0,1410694.5,0.0,86597.55,0.0,9320065.61,50.0,CA,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.83,No,,,,,,No,,,,,,,,,S8DE00178,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,15000.0,0.0,15000.0,0.0,0.0,0.0,0.0,15000.0,0.0,4560.0,0.0,-4560.0,0.0,DE,0.0,,,,,,0.0,0.0,10/01/2018,0.0,0.0,fuente, roque rocky de la,
Roque De La Fuente,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.83,No,,,,,,No,,,,,,,,,S8FL00299,"FUENTE, ROQUE ""ROCKY"" DE LA",C,2.0,REP,45000.0,0.0,45000.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,FL,0.0,,,,,,0.0,0.0,10/02/2018,0.0,0.0,fuente," roque ""rocky"" de la",
Roque De La Fuente,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,0.83,No,,,,,,No,,,,,,,,,S8RI00151,"FUENTE, ROQUE ROCKY DE LA",C,2.0,REP,100000.0,0.0,47761.14,0.0,0.0,52238.86,0.0,100000.0,0.0,25000.0,0.0,75000.0,0.0,RI,0.0,,,,,,0.0,0.0,09/30/2018,0.0,0.0,fuente, roque rocky de la,
Dave Bryant,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,5.54,No,,,,,,No,,,,,,,,,S8WA00277,"BRYANT, DAVE",C,2.0,REP,19167.0,0.0,12639.0,0.0,0.0,0.0,4654.0,5000.0,0.0,5000.0,0.0,0.0,9512.0,WA,0.0,,,,,,0.0,0.0,12/20/2018,0.0,0.0,bryant, dave,
Art Coday,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,4.98,No,,,,,,Yes,,,,,,,,,S0WA00258,"CODAY, ART",C,2.0,REP,24673.5,0.0,23205.64,0.0,0.0,1466.56,0.0,0.0,0.0,0.0,0.0,20616.82,24673.5,WA,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,coday, art,
