Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Ronald Marshall,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,-4.98,3.24,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,,,,,,,,H8TX32072,"MARSHALL, RONALD WILLIAM",C,1.0,DEM,3661.07,0.0,3512.34,0.0,0.0,0.0,20.0,3625.0,0.0,0.0,0.0,0.0,16.07,TX,32.0,,,,,,0.0,0.0,03/31/2018,0.0,0.0,marshall, ronald william,
Todd Maternowski,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,-4.98,2.3599999,No,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,H8TX32114,"MATERNOWSKI, TODD",C,1.0,DEM,5731.0,0.0,5709.42,0.0,0.0,-102.36,0.0,0.0,0.0,0.0,0.0,0.0,5731.0,TX,32.0,,,,,,0.0,0.0,03/07/2018,0.0,0.0,maternowski, todd,
Dayna Steele,TX,U.S. House Texas District 36,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-49.509997999999996,72.0,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,Yes,,,,H8TX36024,"STEELE, DAYNA MS.",C,1.0,DEM,902066.46,18141.17,901866.46,0.0,0.0,0.0,137.0,7157.42,0.0,5926.05,0.0,0.0,859594.67,TX,36.0,,,,,,14700.0,0.0,12/31/2018,14864.12,0.0,steele, dayna ms.,
Jonathan Powell,TX,U.S. House Texas District 36,Representative,Regular,3/6/18,Lost,None,None,-49.509997999999996,28.0,No,White,No,No,Yes,No,Yes,No,,,,,,,No,,,No,,,,H8TX36016,"POWELL, JONATHAN A",C,1.0,DEM,85489.36,0.0,85867.37,0.0,0.0,0.0,9685.32,20000.0,0.0,0.0,0.0,20000.0,51804.04,TX,36.0,,,,,,0.0,4000.0,09/30/2018,0.0,0.0,powell, jonathan a,
Catherine Krantz,TX,U.S. House Texas District 4,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-55.029999,68.620003,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,H8TX04162,"KRANTZ, CATHERINE",C,1.0,DEM,29171.29,0.0,34031.58,0.0,0.0,-4860.29,0.0,3930.0,0.0,3247.3,0.0,0.0,24156.72,TX,4.0,,,,,,549.57,535.0,12/31/2018,0.0,0.0,krantz, catherine,
Lander Bethel,TX,U.S. House Texas District 4,Representative,Regular,3/6/18,Lost,None,None,-55.029999,31.379998999999998,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,H8TX04170,"BETHEL, LANDER LOUIS",C,1.0,DEM,21667.2,0.0,20826.04,0.0,0.0,841.16,0.0,0.0,2275.0,0.0,2225.0,0.0,19225.6,TX,4.0,,,,,,0.0,0.0,12/31/2018,50.0,0.0,bethel, lander louis,
Danny Wood,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,None,On the Ballot,-31.360001,100.0,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,,,,H8TX05086,"WOOD, DANNY EUGENE JR",O,1.0,DEM,124934.57,0.0,110785.59,0.0,0.0,13864.06,16991.07,15200.0,0.0,0.0,0.0,15200.0,87743.49,TX,5.0,,,,,,0.0,4990.0,12/31/2018,0.0,0.0,wood, danny eugene jr,
Jana Lynne Sanchez,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,-16.030001000000002,36.900002,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,H8TX06183,"SANCHEZ, JANA LYNNE MS",O,1.0,DEM,737861.14,0.0,718241.7,0.0,0.0,19619.44,972.49,0.0,0.0,0.0,0.0,0.0,664368.97,TX,6.0,,,,,,64642.68,4000.0,12/31/2018,3500.0,0.0,sanchez, jana lynne ms,
John Duncan,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,-16.030001000000002,13.52,No,White,No,Yes,No,No,No,No,,,,,,,No,,,,,,,H8TN02069,"DUNCAN, JOHN J REP. JR.",I,2.0,REP,146053.26,0.0,408983.11,6000.0,959084.65,696154.8,4000.0,0.0,0.0,0.0,0.0,0.0,18700.0,TN,2.0,,,,,,81400.0,0.0,12/31/2018,7700.0,11900.0,duncan, john j rep. ,
John Duncan,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,-16.030001000000002,13.52,No,White,No,Yes,No,No,No,No,,,,,,,No,,,,,,,H8TX06191,"DUNCAN, JOHN WESLEY",O,1.0,DEM,34500.18,0.0,34534.24,0.0,0.0,-34.06,3724.38,0.0,0.0,0.0,0.0,0.0,26775.8,TX,6.0,,,,,,0.0,4000.0,05/03/2018,6.0,0.0,duncan, john wesley,
